"lockdown_duration","c_star_multiplier","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
55,1.4,37148.5540914262,37083.0929376332,37083.0633484622,65.461153793025,65.4907429640152,TRUE,4
55,1.6,42239.1794053648,42173.7182515717,42173.6886624007,65.4611537930759,65.4907429640516,TRUE,4
55,1.8,47329.8047193033,47264.3435655102,47264.3139763392,65.4611537930468,65.4907429640443,TRUE,4
55,2,52420.4300332418,52354.9688794488,52354.9392902778,65.4611537930541,65.4907429640443,TRUE,4
60,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
60,0.2,7073.91732705681,7008.45617326376,7008.42658409277,65.4611537930468,65.4907429640398,TRUE,4
60,0.4,12633.657760257,12568.196606464,12568.167017293,65.4611537930396,65.4907429640461,TRUE,4
60,0.6,18193.3981934572,18127.9370396642,18127.9074504932,65.461153793025,65.4907429640334,TRUE,4
60,0.8,23753.1386266575,23687.6774728644,23687.6478836934,65.4611537930687,65.4907429640334,TRUE,4
60,1,29312.8790598577,29247.4179060646,29247.3883168936,65.4611537930796,65.4907429640698,TRUE,4
60,1.2,34872.6194930579,34807.1583392649,34807.1287500939,65.4611537930396,65.490742964037,TRUE,4
60,1.4,40432.3599262581,40366.8987724651,40366.8691832941,65.4611537930468,65.4907429640443,TRUE,4
60,1.6,45992.1003594584,45926.6392056653,45926.6096164943,65.4611537930468,65.4907429640589,TRUE,4
60,1.8,51551.8407926586,51486.3796388656,51486.3500496945,65.4611537930541,65.4907429640734,TRUE,4
60,2,57111.5812258588,57046.1200720658,57046.0904828947,65.4611537930541,65.490742964088,TRUE,4
65,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
65,0.2,7542.61260882197,7477.15145502892,7477.12186585793,65.4611537930468,65.4907429640361,TRUE,4
65,0.4,13571.0483237873,13505.5871699943,13505.5575808233,65.4611537930377,65.4907429640425,TRUE,4
65,0.6,19599.4840387527,19534.0228849597,19533.9932957887,65.4611537930505,65.4907429640407,TRUE,4
65,0.8,25627.9197537181,25562.4585999251,25562.4290107541,65.461153793065,65.4907429640516,TRUE,4
65,1,31656.3554686835,31590.8943148905,31590.8647257195,65.4611537930505,65.4907429640443,TRUE,4
65,1.2,37684.7911836489,37619.3300298558,37619.3004406848,65.4611537930468,65.4907429640516,TRUE,4
65,1.4,43713.2268986143,43647.7657448212,43647.7361556502,65.4611537930687,65.4907429640807,TRUE,4
65,1.6,49741.6626135796,49676.2014597866,49676.1718706156,65.4611537930032,65.4907429640443,TRUE,4
