"target_share","actual_share","pca_wins","pca_advantage"
0.16,0.16,FALSE,-12.773575279025
0.16,0.16,FALSE,-13.1187079809752
0.16,0.16,FALSE,-14.3538493218475
0.16,0.16,FALSE,-22.6711828738153
0.16,0.16,TRUE,3.8272930133171
0.16,0.16,FALSE,-9.50031601251612
0.16,0.16,FALSE,-39.6594083044874
0.17,0.17,FALSE,-33.4680504537537
0.17,0.17,FALSE,-18.7370460198435
0.17,0.17,FALSE,-11.059325567825
0.17,0.17,TRUE,3.32358582503002
0.17,0.17,FALSE,-19.9472046285664
0.17,0.17,FALSE,-5.07787092653598
0.17,0.17,FALSE,-7.75785114094106
0.17,0.17,FALSE,-14.4553676595897
0.17,0.17,FALSE,-12.7167320630942
0.17,0.17,FALSE,-2.64951966010631
0.17,0.17,FALSE,-19.3706432264371
0.17,0.17,FALSE,-6.29294349829433
0.17,0.17,FALSE,-12.5630103134172
0.17,0.17,FALSE,-16.3019007096009
0.17,0.17,FALSE,-0.823133523314027
0.17,0.17,FALSE,-32.8319838012139
0.17,0.17,FALSE,-17.3001348569778
0.17,0.17,FALSE,-16.879668064099
0.17,0.17,FALSE,-7.45046423608801
0.17,0.17,FALSE,-1.34898660802719
0.17,0.17,FALSE,-11.1705489219894
0.17,0.17,FALSE,-0.962838751227537
0.17,0.17,FALSE,-28.9785975257619
0.17,0.17,TRUE,2.56905286491747
0.17,0.17,FALSE,-34.2580303818395
0.17,0.17,FALSE,-14.5051565086942
0.17,0.17,TRUE,2.53610288030904
0.17,0.17,FALSE,-2.60491052779253
0.17,0.17,FALSE,-19.4361125244941
0.17,0.17,FALSE,-10.9613394488151
0.17,0.17,FALSE,-21.1411400842189
0.17,0.17,FALSE,-22.2934831770544
0.17,0.17,FALSE,-10.4605099875662
0.17,0.17,FALSE,-0.595757196966588
0.17,0.17,FALSE,-37.7215277660252
0.17,0.17,TRUE,10.161435348793
0.17,0.17,FALSE,-39.6693221567111
0.17,0.17,FALSE,-14.5899334286623
0.17,0.17,FALSE,-4.05946860512631
0.17,0.17,FALSE,-0.542432162743353
0.17,0.17,FALSE,-0.264145329172607
0.17,0.17,FALSE,-11.7549681207529
0.17,0.17,TRUE,8.12664525427317
0.17,0.17,FALSE,-0.856438088187133
0.17,0.17,FALSE,-13.4984913763874
0.17,0.17,FALSE,-7.37297581037637
0.17,0.17,FALSE,-4.46332130880182
0.17,0.17,FALSE,-5.50724137336874
0.17,0.17,FALSE,-23.9394234592692
0.17,0.17,FALSE,-15.2004894190686
0.18,0.18,FALSE,-10.921945184662
0.18,0.18,TRUE,3.61369210831617
0.18,0.18,FALSE,-9.60461745674547
0.18,0.18,FALSE,-16.9665939980187
0.18,0.18,FALSE,-4.84661091097951
0.18,0.18,FALSE,-7.27204821845589
0.18,0.18,TRUE,6.40417430820889
0.18,0.18,FALSE,-11.3750989559485
0.18,0.18,FALSE,-6.87137103920031
0.18,0.18,TRUE,4.1301459231654
0.18,0.18,TRUE,7.11528992213061
0.18,0.18,FALSE,-9.23624477304475
0.18,0.18,FALSE,-7.67400939965955
0.18,0.18,TRUE,7.61038809018282
0.18,0.18,FALSE,-12.9534409785047
0.18,0.18,TRUE,6.483753779572
0.18,0.18,FALSE,-4.90120586338526
0.18,0.18,FALSE,-16.4335835296879
0.18,0.18,TRUE,1.95311029507138
0.18,0.18,FALSE,-7.21786531594626
0.18,0.18,FALSE,-5.55807786166042
0.18,0.18,TRUE,4.00577135885032
0.18,0.18,FALSE,-29.9485192373904
0.18,0.18,FALSE,-0.474883922819572
0.18,0.18,TRUE,0.555271842273214
0.18,0.18,FALSE,-15.25737300951
0.18,0.18,FALSE,-6.97335489056422
0.18,0.18,FALSE,-24.4911694322545
0.18,0.18,FALSE,-4.98873110100249
0.18,0.18,TRUE,6.18743573012762
0.18,0.18,FALSE,-13.836019411021
0.18,0.18,FALSE,-38.2136412436084
0.18,0.18,FALSE,-6.33350482793321
0.18,0.18,FALSE,-35.7331537419086
0.18,0.18,FALSE,-14.020825602176
0.18,0.18,TRUE,5.24070151126944
0.18,0.18,FALSE,-27.653921406436
0.18,0.18,FALSE,-8.47326702102146
0.18,0.18,FALSE,-18.3977669258602
0.18,0.18,FALSE,-10.8089259970948
0.18,0.18,FALSE,-9.14711105775132
0.18,0.18,FALSE,-14.8584319701731
0.18,0.18,FALSE,-7.39342844455678
0.18,0.18,FALSE,-10.0334445789886
0.18,0.18,FALSE,-17.8202784324458
0.18,0.18,FALSE,-21.2316864301756
0.18,0.18,FALSE,-7.6965031221298
0.18,0.18,FALSE,-12.1210532836958
0.18,0.18,FALSE,-1.76200829346271
0.18,0.18,FALSE,-26.5222068511321
0.19,0.19,FALSE,-12.4749531114794
0.19,0.19,FALSE,-1.66402196291529
0.19,0.19,TRUE,4.80181981093119
0.19,0.19,FALSE,-13.8806298782183
0.19,0.19,FALSE,-6.02705230925858
0.19,0.19,FALSE,-24.3258796563896
0.19,0.19,FALSE,-15.1711626936485
0.19,0.19,FALSE,-32.6428909556635
0.19,0.19,FALSE,-5.11137163023159
0.19,0.19,FALSE,-25.5026011742157
0.19,0.19,FALSE,-3.84766615810804
0.19,0.19,FALSE,-13.4643503820735
0.19,0.19,FALSE,-4.48418381085139
0.19,0.19,FALSE,-0.335647206593421
0.19,0.19,TRUE,8.49691404513942
0.19,0.19,FALSE,-5.65702628986037
0.19,0.19,FALSE,-8.80876683848692
0.19,0.19,FALSE,-17.7010874173211
0.19,0.19,FALSE,-22.1715908259903
0.19,0.19,TRUE,5.8756524472592
0.19,0.19,FALSE,-5.64308980314308
0.19,0.19,TRUE,5.14548236185146
0.19,0.19,FALSE,-2.59845480744116
0.19,0.19,FALSE,-6.80752437541378
0.19,0.19,FALSE,-19.703182960242
0.19,0.19,FALSE,-6.64963277791685
0.19,0.19,FALSE,-27.3409728428232
0.19,0.19,FALSE,-22.4563269820865
0.19,0.19,TRUE,1.64113616426403
0.19,0.19,TRUE,9.88040517630361
0.19,0.19,FALSE,-27.7729693576803
0.19,0.19,FALSE,-4.9811786749051
0.19,0.19,FALSE,-20.9953290284357
0.19,0.19,FALSE,-29.4489313080958
0.19,0.19,FALSE,-25.760264970304
0.19,0.19,FALSE,-35.6709001133968
0.19,0.19,FALSE,-12.751874856669
0.19,0.19,TRUE,0.87201313800324
0.19,0.19,FALSE,-16.4897355840549
0.19,0.19,FALSE,-1.38098747292679
0.19,0.19,TRUE,3.76269985472391
0.19,0.19,FALSE,-5.87894851286183
0.19,0.19,FALSE,-1.57747305864177
0.19,0.19,FALSE,-28.6853943632741
0.19,0.19,FALSE,-15.6478443790693
0.19,0.19,FALSE,-18.5244769991186
0.19,0.19,TRUE,2.47120058565633
0.19,0.19,FALSE,-41.0589479742193
0.19,0.19,FALSE,-4.30018316227142
0.19,0.19,TRUE,2.40468509527273
0.2,0.2,TRUE,2.39150803667144
0.2,0.2,TRUE,4.20845227096288
0.2,0.2,FALSE,-48.5972225550868
0.2,0.2,TRUE,2.76931154120393
0.2,0.2,FALSE,-6.91829520724423
0.2,0.2,FALSE,-6.97722438238998
0.2,0.2,FALSE,-20.8507667285739
0.2,0.2,TRUE,2.47651395528374
0.2,0.2,FALSE,-20.8284278265601
0.2,0.2,TRUE,3.93002371783223
0.2,0.2,FALSE,-2.99776144707721
0.2,0.2,FALSE,-9.52616277995912
0.2,0.2,TRUE,6.32096284341242
0.2,0.2,FALSE,-14.0092152221841
0.2,0.2,FALSE,-3.00249017817987
0.2,0.2,FALSE,-7.00840329053972
0.2,0.2,FALSE,-1.02318271372133
0.2,0.2,FALSE,-16.9646914500008
0.2,0.2,TRUE,2.04656656115549
0.2,0.2,FALSE,-9.39872187371293
0.2,0.2,FALSE,-15.0761959370393
0.2,0.2,TRUE,3.52019310104151
0.2,0.2,FALSE,-4.13866632915597
0.2,0.2,FALSE,-17.2454161219648
