"sim_id","c_star_mean","c_star_sd","c_star_max","c_star_gini","c_star_sum","q0_mean","q0_sd","q0_max","q0_gini","q0_sum","cstar_q0_cor","c_star_pca_share","q0_pca_share","lockdown_duration","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
156,0.770596794583841,0.545371255913944,1.5919203085382,0.391517877379234,11.5589519187576,0.0125424932958394,0.00761184048949811,0.0232952162466186,0.332610008559241,0.188137399437591,0.000485138574304121,0.303583110084952,0.335761833163638,20,84169.4318456391,83529.7198090187,83683.2717026042,639.712036620374,486.160143034896,FALSE,3
157,0.84353488247494,0.570128395525107,1.52703259223731,0.367524707325487,12.6530232371241,0.0127966791664196,0.00801132520292428,0.0235778454113757,0.34078332261976,0.191950187496294,-0.160770363727226,0.227870330468928,0.333716341353822,47,178524.691656292,178034.904338204,178171.998946562,489.787318088405,352.692709729687,FALSE,2
158,0.714679502717416,0.410124774435841,1.58403773989886,0.310917507660303,10.7201925407612,0.0111881353563487,0.00739602904135333,0.0234268484876199,0.360642217571916,0.167822030345231,-0.226122329106413,0.303561548436517,0.496418869383481,26,96374.7011697953,95574.6232820688,95666.8898722195,800.077887726569,707.811297575827,FALSE,4
159,0.726466462632846,0.55020369733839,1.58041374577341,0.414716320566582,10.8969969394927,0.0148440029156455,0.00644754823547812,0.0234919203055783,0.23707168019864,0.222660043734682,-0.290533710853644,0.373317000999043,0.370961727964569,57,190030.846557261,189594.826121589,189410.881761218,436.020435672195,619.964796042885,TRUE,3
160,0.723480322527466,0.445970121023392,1.55581019124904,0.337677329534863,10.852204837912,0.0121063353778578,0.00689433089569007,0.0218955572371582,0.310795836228517,0.181595030667867,0.209510252109706,0.480139929377281,0.37324229116753,77,351617.798432314,351087.207647308,351021.799715933,530.590785006294,595.998716381786,TRUE,4
161,0.749154986984906,0.495850334502425,1.57140745689439,0.363804328143893,11.2373248047736,0.0104190191761168,0.00733724233601839,0.0221667105930172,0.386897214838068,0.156285287641753,0.0545709987832,0.188712431440279,0.284955640844933,78,241331.890927167,240917.111078496,241047.28240005,414.779848670965,284.608527116477,FALSE,2
162,0.987288812526485,0.386637339683915,1.58491795618035,0.216381394214,14.8093321878973,0.0109682017400559,0.00761525149047054,0.0216865117035051,0.380748943954057,0.164523026100838,0.493150716112215,0.297055618164973,0.253505984666153,27,122498.382648046,121972.917668151,122157.7452792,525.464979894241,340.637368845375,FALSE,3
163,0.985911762495882,0.306054556042917,1.43756153869035,0.170373607466706,14.7886764374382,0.0152737131060233,0.00770903875719875,0.0234208821953006,0.271839451415255,0.22910569659035,-0.30503558542024,0.371149919078829,0.362269619372612,67,393647.725516857,392742.758645327,392960.262306762,904.966871529759,687.463210095128,FALSE,4
164,0.857438245249803,0.38514072805835,1.43624760020955,0.246616490044966,12.861573678747,0.0105272968723273,0.00658101329882191,0.0214754401269495,0.34310283151192,0.15790945308491,0.333647839066757,0.373447277269178,0.46978618275553,14,61868.2079778032,61109.9560317474,61222.2374626484,758.251946055767,645.970515154804,FALSE,4
165,0.775679646703431,0.383444811251921,1.46555592929566,0.271904151694818,11.6351947005515,0.0118270529061529,0.00742002832797906,0.0236387955965874,0.348153367620649,0.177405793592293,0.100622093628748,0.2968420794943,0.440674996886362,38,168381.859438745,167677.729543366,167704.784832523,704.12989537901,677.074606221664,FALSE,3
166,0.890964658587949,0.454185551730233,1.5116628440162,0.279733075612979,13.3644698788192,0.0105686463471918,0.00756294293521629,0.02227030107505,0.391504128514821,0.158529695207877,0.148981397320093,0.294032840599029,0.316584372356167,46,218376.177647732,217963.809364431,218022.338078563,412.368283301592,353.839569169475,FALSE,4
167,0.866783346046725,0.460353128647113,1.55678871808925,0.292843604233737,13.0017501907009,0.0118240927756538,0.00795352444737927,0.0229548491157077,0.367004944524035,0.177361391634807,0.545499372580477,0.164910736469197,0.200435051257664,71,264385.001249889,263953.049151265,264070.218948,431.952098624839,314.782301889441,FALSE,2
168,0.799644576366375,0.48497220399061,1.58687950895795,0.331193891423662,11.9946686454956,0.0115562128258718,0.00776232632606151,0.022406753279867,0.369793355133066,0.173343192388077,0.00270304246439679,0.294754671736901,0.345481040074866,74,312499.490471133,311945.160481609,312083.725560274,554.329989523743,415.764910859056,FALSE,3
169,0.834348250441382,0.476557084787405,1.43718815642626,0.311255506483709,12.5152237566207,0.0134943544795316,0.00788952533355617,0.0229919256461312,0.315554872534324,0.202415317192974,-0.00217191493015552,0.31912711311177,0.280253965785113,45,212602.50157945,211874.744346309,212128.909529184,727.757233141339,473.592050266016,FALSE,3
170,0.926649937930765,0.500040298187857,1.5942877983891,0.295179265831167,13.8997490689615,0.0142624117950056,0.00753807481150151,0.0234778473059398,0.285819856945931,0.213936176925083,-0.0467392996382647,0.200733981724331,0.258756091833829,53,207654.652368006,206894.796726811,207179.12224716,759.855641194445,475.530120845884,FALSE,3
171,0.731568717692163,0.454850419504193,1.53564442664124,0.342116340901565,10.9735307653825,0.0129147069649038,0.00641774972654899,0.0229014490357793,0.272316215816666,0.193720604473557,0.0181640453859365,0.219723811217211,0.375011694614554,36,132778.691593311,131999.844649685,132141.270269158,778.846943625307,637.42132415279,FALSE,3
172,0.827360424569633,0.410467683161706,1.51374356108484,0.272350896845351,12.4104063685445,0.0118581661613278,0.00711855183264704,0.0211424386298401,0.326719445069239,0.177872492419917,0.0723516547493479,0.373345668881551,0.365874855357333,16,91403.7336077388,90659.9783690938,90864.2819139592,743.755238644968,539.451693779643,FALSE,3
173,0.779267205759264,0.416728052187008,1.55532310331066,0.294001829325774,11.689008086389,0.0134483908207632,0.00613989122174886,0.0223310526517855,0.245019169615322,0.201725862311448,-0.0257419886809792,0.501131725899238,0.298033665850352,20,101389.874485498,100800.534359535,101047.619872051,589.340125963136,342.254613447076,FALSE,4
174,1.02065148537619,0.446667082455181,1.4989000133209,0.234108036250928,15.3097722806429,0.010737836808761,0.00722732668981815,0.021883512429422,0.371456061341503,0.161067552131415,-0.272649913177052,0.319549423657411,0.334908098172756,57,316716.051453183,316119.682843694,316111.129958314,596.368609488534,604.921494868759,TRUE,3
175,0.815020445364551,0.451639626936862,1.56160237653474,0.303447484902044,12.2253066804683,0.00917953759684226,0.00655446411050678,0.022984533434338,0.383337342870366,0.137693063952634,0.226539312661323,0.30845683221548,0.298972197400796,19,89557.9125541511,89209.2121998659,89221.0031834216,348.70035428516,336.909370729438,FALSE,4
176,0.827400300659548,0.560507897844956,1.51580942420993,0.371419546004553,12.4110045098932,0.010621133866721,0.00729355748490631,0.0218731490622261,0.376965564279872,0.159317008000815,-0.434302376389151,0.364574490996173,0.158112596646766,76,315862.442140698,315526.182520405,315608.364243319,336.25962029316,254.077897378884,FALSE,3
177,0.842488809203846,0.479595604540287,1.58096183243275,0.31298883221945,12.6373321380577,0.0120182221341613,0.00778255824806305,0.0235197100735859,0.357935795462327,0.180273332012419,-0.125370221702559,0.351280507594179,0.275203293470018,66,263730.742855753,263204.986137716,263189.670275424,525.756718037417,541.072580329026,TRUE,4
178,0.890078832305456,0.378613448635001,1.57915005850112,0.230179784849477,13.3511824845818,0.0115273017781926,0.006895272761947,0.0222357753302266,0.328080407201596,0.172909526672889,0.13645075959112,0.287252057264377,0.384466317286918,20,84035.995239916,83445.6232327349,83524.8051545005,590.372007181097,511.190085415452,FALSE,3
179,0.716266223877482,0.386465338704713,1.39138880978563,0.297693503885435,10.7439933581622,0.00786073317512058,0.00592143997766648,0.0156752051662261,0.398436853285676,0.117910997626809,-0.137357329485927,0.343253392627643,0.189477039892445,12,46777.2140224901,46639.0655778665,46652.1684045973,138.148444623592,125.045617892734,FALSE,3
180,0.831262272585391,0.348083205502559,1.44344524085335,0.22575710564127,12.4689340887809,0.0120397410444429,0.00772001854086994,0.0232780653431812,0.352675501205016,0.180596115666643,-0.267280996059031,0.29731524850042,0.306998109043055,62,273002.413401682,272401.127145268,272663.723992705,601.286256413674,338.689408976759,FALSE,3
181,0.858654307722344,0.441201817228551,1.59534846799495,0.281207375506205,12.8798146158352,0.0118439369693528,0.00889244999856454,0.0236781591712056,0.410446828844121,0.177659054540292,0.0377530065888847,0.456238752859298,0.406817202364749,76,382721.274205542,382013.591855671,382101.275007906,707.682349870971,619.999197635509,FALSE,4
182,0.74611981302269,0.536387655326151,1.58800775658167,0.389522922869262,11.1917971953404,0.0135740155767808,0.00769762882248294,0.023407037122243,0.311056898514285,0.203610233651711,0.225854302857984,0.220897723174257,0.316192254133394,22,64351.5284815429,63529.4664285115,63775.1746126978,822.062053031405,576.353868845043,FALSE,3
183,0.88964323282732,0.4633943770368,1.56799521846521,0.285578931536281,13.3446484924098,0.00936490763265398,0.00701662041890431,0.0223584165200444,0.401922966557896,0.14047361448981,0.274068427983323,0.376107535620987,0.348077053900042,61,274035.755085063,273702.278686081,273704.736966841,333.476398981875,331.018118222652,FALSE,4
184,0.734441756295536,0.489329302394262,1.5489800023089,0.360848074622745,11.016626344433,0.00975898414332927,0.00757023377348762,0.023153460227056,0.422717950599959,0.146384762149939,-0.550311627459847,0.292770978993385,0.362255813728989,75,355535.255024698,355295.938027926,355225.15193585,239.316996771493,310.103088847769,TRUE,3
185,0.655831119750478,0.525191548668996,1.51777539494614,0.43324549850602,9.83746679625717,0.013837681471718,0.00615656971275882,0.0234639552034822,0.243947622749625,0.20756522207577,-0.194865402777473,0.39097009311614,0.305369559396209,70,299255.622479281,298454.399628,298589.563164471,801.222851280589,666.059314809972,FALSE,3
186,0.459731158231383,0.425123756111123,1.52216005583987,0.484656262011251,6.89596737347075,0.00871313999750617,0.00551740343850053,0.0193572015909479,0.339998740003666,0.130697099962592,0.0809512927917122,0.409579745716269,0.454875309939965,20,49528.8264085196,49117.2707342095,49115.0230397269,411.555674310097,413.803368792636,TRUE,4
